id,youtube_id,player,sex,club,view,slow,events,bbox,split,processed_video_path
0,f1BWA5F87Jc,SANDRA GAL,f,driver,down-the-line,0,[408 455 473 476 490 495 498 501 514 545],[0.09765625 0.00694444 0.50234375 0.98055556],3,processed_videos/SANDRA_GAL_f1BWA5F87Jc_0f5b7bd1-3094-4d07-b570-447c73d4eb29.mp4
1,f1BWA5F87Jc,SANDRA GAL,f,driver,down-the-line,1,[ 814  854  917  931  988 1006 1019 1030 1083 1137],[3.90625000e-02 6.94444444e-04 6.12500000e-01 9.78472222e-01],3,processed_videos/SANDRA_GAL_f1BWA5F87Jc_9c5390f9-e65e-4a54-b849-2e6531d23326.mp4
2,tA1iotgtMyc,CHRIS DIMARCO,m,driver,down-the-line,0,[521 659 678 683 692 696 698 701 715 745],[1.65625000e-01 6.94444444e-04 4.83593750e-01 9.86805556e-01],3,processed_videos/CHRIS_DIMARCO_tA1iotgtMyc_e8e657dc-fd54-4381-b482-de23dd2021d8.mp4
3,tA1iotgtMyc,CHRIS DIMARCO,m,driver,down-the-line,1,[1106 1190 1244 1264 1300 1313 1324 1335 1389 1449],[1.85156250e-01 6.94444444e-04 4.65625000e-01 9.71527778e-01],3,processed_videos/CHRIS_DIMARCO_tA1iotgtMyc_e8842b67-5660-462d-8106-14bb9fe6c238.mp4
4,wDCKLePrwHA,BROOKE HENDERSON,f,driver,down-the-line,0,[157 170 183 188 197 201 205 207 220 250],[1.10156250e-01 6.94444444e-04 4.98437500e-01 9.86805556e-01],3,processed_videos/BROOKE_HENDERSON_wDCKLePrwHA_d7d10239-665b-4328-844e-2aa0ece25b02.mp4
5,wDCKLePrwHA,BROOKE HENDERSON,f,driver,down-the-line,1,[510 528 579 598 634 650 665 674 723 763],[1.10937500e-01 6.94444444e-04 5.07031250e-01 9.71527778e-01],3,processed_videos/BROOKE_HENDERSON_wDCKLePrwHA_9fc8344d-94f4-40fc-981b-80da6bc87e7c.mp4
6,iPuVhnI8pJU,NICK WATNEY,m,driver,down-the-line,0,[246 298 310 314 324 329 332 334 351 381],[0.1453125  0.00138889 0.46796875 0.99930556],2,processed_videos/NICK_WATNEY_iPuVhnI8pJU_b1609d18-0752-48b8-8169-8959eaa0338a.mp4
7,iPuVhnI8pJU,NICK WATNEY,m,driver,down-the-line,1,[ 751  794  843  859  896  918  929  938  996 1029],[1.69531250e-01 6.94444444e-04 4.12500000e-01 1.00000000e+00],2,processed_videos/NICK_WATNEY_iPuVhnI8pJU_8ade2ee5-87a6-421e-88c5-01a514fc6d8c.mp4
8,-M5SITXMA2Y,CRISTIE KERR,f,driver,face-on,0,[288 317 333 335 347 352 355 357 371 401],[7.81250000e-04 6.94444444e-04 9.18750000e-01 1.00000000e+00],4,processed_videos/CRISTIE_KERR_-M5SITXMA2Y_a3ed2e79-77c3-4c0d-837e-730f6426c2bc.mp4
9,-M5SITXMA2Y,CRISTIE KERR,f,driver,face-on,1,[601 631 690 699 749 765 779 788 847 878],[3.90625000e-04 6.94444444e-04 9.02734375e-01 1.00000000e+00],4,processed_videos/CRISTIE_KERR_-M5SITXMA2Y_6b7db7d0-a188-42da-8746-3aa18e54df8e.mp4
